,Fecha,Rango_edad,Casos,Hospitalizados,Ingresos_uci,Fallecidos,Casos nuevos14,Casos nuevos7,Casos nuevos,Población,IA 7 días,IA 14 días
201,2020-03-22,30 a 39,44,10,1,0,41.0,31.0,7,70473,43.988477856767844,58.17830942346714
202,2020-03-22,40 a 49,64,23,3,0,59.0,53.0,14,97769,54.209411981302864,60.346326545223945
203,2020-03-22,50 a 59,60,21,1,0,60.0,55.0,11,89964,61.135565337246014,66.69334400426837
204,2020-03-22,60 a 69,71,39,8,2,71.0,57.0,8,77345,73.69577865408236,91.79649621824294
205,2020-03-22,70 a 79,57,39,3,2,57.0,54.0,13,53066,101.76007236271812,107.41340971620245
206,2020-03-22,Mayor de 80,44,27,0,4,44.0,42.0,15,41042,102.33419424004678,107.20725110862045
207,2020-03-23,0 a 9,1,0,0,0,1.0,1.0,0,46913,2.1316053119604375,2.1316053119604375
208,2020-03-23,10 a 19,5,2,0,0,4.0,2.0,0,55828,3.5824317546750737,7.164863509350147
209,2020-03-23,20 a 29,24,10,1,0,21.0,17.0,2,50505,33.660033660033655,41.58004158004158
210,2020-03-23,30 a 39,51,12,2,0,48.0,38.0,7,70473,53.921359953457355,68.11119152015665
211,2020-03-23,40 a 49,74,26,3,1,69.0,63.0,10,97769,64.43760292117133,70.57451748509241
212,2020-03-23,50 a 59,76,30,1,0,76.0,71.0,16,89964,78.92045707171758,84.47823573873994
213,2020-03-23,60 a 69,81,46,10,2,81.0,66.0,10,77345,85.33195423104273,104.72558019264335
214,2020-03-23,70 a 79,65,47,5,2,65.0,61.0,8,53066,114.95119285418158,122.4889759921607
215,2020-03-23,Mayor de 80,67,40,0,7,67.0,64.0,23,41042,155.937819794357,163.2474050972175
216,2020-03-24,0 a 9,1,0,0,0,1.0,1.0,0,46913,2.1316053119604375,2.1316053119604375
217,2020-03-24,10 a 19,7,2,0,0,6.0,4.0,2,55828,7.164863509350147,10.74729526402522
218,2020-03-24,20 a 29,26,11,1,0,23.0,19.0,2,50505,37.62003762003762,45.54004554004554
219,2020-03-24,30 a 39,61,15,2,0,58.0,47.0,10,70473,66.69220836348673,82.30102308685596
220,2020-03-24,40 a 49,96,35,4,1,91.0,84.0,22,97769,85.91680389489511,93.07653755280305
221,2020-03-24,50 a 59,93,43,1,0,93.0,86.0,17,89964,95.59379307278466,103.37468320661598
222,2020-03-24,60 a 69,95,55,10,3,95.0,72.0,14,77345,93.08940461568298,122.82629775680392
223,2020-03-24,70 a 79,78,61,7,3,78.0,70.0,13,53066,131.9112049146346,146.98677119059283
224,2020-03-24,Mayor de 80,75,48,0,9,75.0,71.0,8,41042,172.99351883436478,182.73963257151212
225,2020-03-25,0 a 9,1,0,0,0,1.0,1.0,0,46913,2.1316053119604375,2.1316053119604375
226,2020-03-25,10 a 19,7,2,0,0,6.0,4.0,0,55828,7.164863509350147,10.74729526402522
227,2020-03-25,20 a 29,36,11,2,0,33.0,29.0,10,50505,57.42005742005742,65.34006534006534
228,2020-03-25,30 a 39,78,17,2,0,75.0,62.0,17,70473,87.97695571353569,106.42373675024477
229,2020-03-25,40 a 49,122,41,4,1,117.0,105.0,26,97769,107.39600486861889,119.66983399646105
230,2020-03-25,50 a 59,142,57,2,0,142.0,125.0,49,89964,138.9444666755591,157.84091414343516
231,2020-03-25,60 a 69,120,65,10,3,120.0,90.0,25,77345,116.36175576960372,155.14900769280496
232,2020-03-25,70 a 79,100,77,7,4,100.0,86.0,22,53066,162.0623374665511,188.444578449478
233,2020-03-25,Mayor de 80,106,64,0,11,106.0,96.0,31,41042,233.9067296915355,258.27201403440375
234,2020-03-26,0 a 9,1,0,0,0,1.0,0.0,0,46913,0.0,2.1316053119604375
235,2020-03-26,10 a 19,7,3,0,0,6.0,3.0,0,55828,5.37364763201261,10.74729526402522
236,2020-03-26,20 a 29,46,14,2,0,42.0,35.0,10,50505,69.3000693000693,83.16008316008316
237,2020-03-26,30 a 39,88,22,2,0,84.0,67.0,10,70473,95.07187149688534,119.19458516027414
238,2020-03-26,40 a 49,148,53,4,1,141.0,120.0,26,97769,122.73829127842158,144.21749225214535
239,2020-03-26,50 a 59,165,65,2,0,163.0,138.0,23,89964,153.39469120981727,181.1835845449291
240,2020-03-26,60 a 69,145,81,13,3,144.0,107.0,25,77345,138.3411985260844,186.17880923136596
241,2020-03-26,70 a 79,123,91,8,6,123.0,102.0,23,53066,192.21347001846758,231.78683149285797
242,2020-03-26,Mayor de 80,132,72,0,15,131.0,114.0,26,41042,277.76424150869843,319.1852248915745
243,2020-03-27,0 a 9,1,0,0,0,1.0,0.0,0,46913,0.0,2.1316053119604375
244,2020-03-27,10 a 19,7,3,0,0,5.0,3.0,0,55828,5.37364763201261,8.956079386687684
245,2020-03-27,20 a 29,48,14,2,0,43.0,31.0,2,50505,61.38006138006138,85.14008514008513
246,2020-03-27,30 a 39,96,23,3,0,90.0,67.0,8,70473,95.07187149688534,127.70848410029373
